coord,day,delay,description,end_date,from,geometry,hour,id,latitude,length,longitude,to
"{'x': -73.9743662, 'y': 40.7783631}",Tuesday,0,4,2020-02-25 05:43:59+00:00,Central Park W,POINT (-73.97436620000001 40.7783631),5.0,TTR5158489041614001,40.7783631,272,-73.9743662,Broadway
"{'x': -73.9803143, 'y': 40.7544967}",Thursday,1,2,2020-02-13 17:41:00+00:00,5th Ave (50th St),POINT (-73.9803143 40.7544967),17.0,TTL5159643158406005,40.7544967,299,-73.98031429999997,Park Ave (E 50th St)
"{'x': -73.9851146, 'y': 40.7730232}",Thursday,1,2,2020-02-13 17:41:00+00:00,Broadway,POINT (-73.9851146 40.7730232),17.0,TTL5157911932806006,40.7730232,487,-73.98511459999997,Central Park W
"{'x': -73.985892, 'y': 40.7671613}",Tuesday,0,4,2020-03-31 04:43:59+00:00,W 57th St (7th Ave),POINT (-73.98589200000001 40.7671613),4.0,TTR5159066100004001,40.7671613,78,-73.985892,W 50th St (7th Ave)
"{'x': -73.9823474, 'y': 40.7537168}",Thursday,1,2,2020-02-13 17:41:00+00:00,6th Ave/Avenue of the Americas (W 48th St),POINT (-73.98234739999999 40.7537168),17.0,TTL5159643158406004,40.75371679999999,421,-73.98234740000002,Park Ave (E 48th St)
"{'x': -74.0010253, 'y': 40.7952355}",Thursday,4,5,2020-02-13 23:45:00+00:00,Park Ave,POINT (-74.00102529999999 40.7952355),23.0,TTR5155603627205001,40.7952355,222,-74.00102530000002,Broadway
"{'x': -74.0007832, 'y': 40.7714391}",Thursday,0,1,2020-02-13 19:45:00+00:00,56th St (West End Ave/NY-9A),POINT (-74.0007832 40.7714391),19.0,TTR5159643106521000,40.7714391,7538,-74.0007832,South St (West St/NY-9A)
"{'x': -73.9883754, 'y': 40.7699884}",Thursday,0,1,2020-02-13 19:45:00+00:00,W 59th St exit [8],POINT (-73.9883754 40.7699884),19.0,TTR5157334801601000,40.7699884,43,-73.98837540000002,W 59th St exit [8]
"{'x': -73.9885845, 'y': 40.7696507}",Thursday,0,1,2020-02-13 19:45:00+00:00,57th St (NY-9A),POINT (-73.9885845 40.7696507),19.0,TTR5157334802401000,40.76965070000001,116,-73.9885845,NY-9A/72nd St/Exit 9 (NY-9A)
"{'x': -73.9989377, 'y': 40.7751529}",Sunday,0,1,2020-02-23 04:59:00+00:00,NY-9A/72nd St/Exit 9 (NY-9A),POINT (-73.9989377 40.7751529),4.0,TTR5157334844809000,40.7751529,267,-73.9989377,57th St (NY-9A)
"{'x': -73.9864245, 'y': 40.7623772}",Thursday,2,3,2020-02-13 17:41:00+00:00,W 42nd St (10th Ave),POINT (-73.9864245 40.7623772),17.0,TTL5158488991212011,40.7623772,726,-73.9864245,W 59th St (10th Ave)
"{'x': -73.9944357, 'y': 40.7555376}",Thursday,3,9,2020-02-13 17:43:00+00:00,9th Ave,POINT (-73.9944357 40.7555376),17.0,TTL5159066064006003,40.7555376,248,-73.99443570000003,8th Ave
"{'x': -73.9928059, 'y': 40.7664243}",Thursday,1,2,2020-02-13 17:41:00+00:00,W 59th St exit [8],POINT (-73.99280589999999 40.7664243),17.0,TTL5157911904006003,40.7664243,444,-73.99280590000002,9th Ave
